first_name,last_name,birth_date,phone,home_address,home_postal_code,home_city,hire_date,exit_date,sin,driver_licence,issue_date,expiry_date
Verina,Alu,1961-02-07,561-841-1385,9456 Corry Center,B1X 3H1,North Vancouver,2016-05-27,,407660011,541-60-9685,2020-09-13,2025-9-13
Dale,Collyer,1966-06-03,180-268-0891,20 Almo Pass,E7J 5L0,Delta,2016-05-10,2019-06-07,334730351,866-23-5696,2018-02-01,2023-2-1
Frederik,Allibon,1963-06-24,559-119-1738,35 Kim Avenue,N0J 9A8,North Vancouver,2019-09-19,2019-12-07,758760078,670-95-6326,2020-03-14,2025-3-14
Teresina,Pavek,1990-01-20,510-671-8552,33 Susan Alley,H7X 3G6,West Vancouver,2020-12-20,,157978664,229-54-2781,2020-04-25,2025-4-25
Westbrook,Laidel,1971-04-27,221-292-7876,3 Sachtjen Junction,H9J 9V8,New Westminster,2019-09-18,,973441573,719-58-5196,2019-04-06,2024-4-6
Austin,Windmill,1979-04-02,404-866-5075,580 Doe Crossing Hill,G0X 1R2,West Vancouver,2020-03-26,,188533670,520-99-6992,2020-11-12,2025-11-12
Evan,McNelis,1979-12-12,542-221-5636,72 Magdeline Center,N0J 5K2,North Vancouver,2019-11-03,,673792753,373-93-8889,2019-06-25,2024-6-25
Lowrance,Spino,1966-09-01,510-201-6131,834 Corry Road,B3T 2R9,Maple Ridge,2018-11-16,,743773219,845-39-8388,2019-02-26,2024-2-26
Redford,Cawley,1998-03-17,917-701-1459,836 Swallow Junction,G9T 3L8,Langley,2021-10-13,,606299731,100-69-7561,2020-11-13,2025-11-13
Bobbi,Evett,1978-08-19,809-213-2287,58 Del Sol Way,E3E 4E2,Langley,2019-03-09,,434707025,229-94-0506,2019-03-08,2024-3-8
Kimble,Reffe,1981-03-19,896-305-0704,121 Reinke Lane,L7J 1L0,Langley,2021-05-22,,139772616,358-98-6010,2021-06-21,2026-6-21
Pamela,Mitchiner,1997-03-15,816-343-2935,6533 Larry Trail,T9M 7T1,Surrey,2017-11-11,,513152081,797-99-3104,2020-05-31,2025-5-31
Paloma,Boanas,1974-04-28,151-991-2614,0 Sutteridge Park,T1G 6P9,Vancouver,2019-04-21,,677407442,421-45-4086,2019-09-26,2024-9-26
Donny,Briscoe,1984-03-20,264-295-0875,5189 Menomonie Parkway,K7S 0X5,Maple Ridge,2020-11-28,,978609880,711-67-7154,2018-04-10,2023-4-10
Giulia,Szymanowicz,1989-10-28,326-531-4369,9 Arrowood Center,N0J 9A8,Delta,2019-01-11,,464313745,762-92-5680,2021-03-25,2026-3-25
Isabeau,Groger,1971-08-17,549-768-9228,39716 Northwestern Parkway,H7A 0C0,Coquitlam,2020-05-19,,586121622,868-55-8162,2019-04-26,2024-4-26
Diandra,Tortice,1990-05-20,181-181-3675,72544 Messerschmidt Avenue,N3Y 3H7,Vancouver,2020-05-08,,870199400,206-83-0061,2018-05-23,2023-5-23
Therese,Menghi,1964-12-28,278-317-1382,7 Merchant Trail,E3E 7L6,Abbotsford,2019-06-23,,819854303,865-44-7272,2019-05-12,2024-5-12
Benyamin,Cartmael,1966-10-12,721-614-4351,971 Stephen Hill,E7P 2M4,Surrey,2019-11-18,2019-06-30,822431208,480-68-1447,2020-06-09,2025-6-9
Iona,Lambillion,1966-12-21,754-969-9614,823 Oriole Drive,N0J 5K2,Abbotsford,2016-02-21,,502455503,594-14-7156,2020-04-03,2025-4-3
Kimmy,Sansam,1981-07-10,124-469-2173,04966 Kensington Street,S3N 9V8,Maple Ridge,2016-08-05,,658902219,414-53-6767,2021-05-21,2026-5-21
Erin,Cours,1963-09-21,705-758-2984,4 Meadow Vale Street,T9S 6A1,Langley,2020-05-18,,579248807,441-84-1447,2018-07-17,2023-7-17
Loree,Baseke,1969-02-17,506-289-0991,6247 Acker Center,E9H 7J0,Richmond,2021-04-19,,649159606,814-93-3302,2018-12-31,2023-12-31
Chic,Basso,1961-09-06,180-316-0855,0609 Barnett Point,E7N 4E2,Vancouver,2015-11-25,,145172714,245-74-4678,2021-01-07,2026-1-7
Harley,Gherardesci,1968-02-12,653-151-4778,03674 Rieder Place,L9S 7H4,North Vancouver,2016-11-08,,816575449,788-58-2733,2020-08-28,2025-8-28
Rafael,Ranner,1965-06-08,414-555-1486,3032 Fordem Park,B2N 1H5,West Vancouver,2016-05-30,,923572967,866-91-9203,2021-01-03,2026-1-3
Penni,Lipscombe,1967-06-16,583-808-2108,406 Lukken Place,T1G 2N6,Coquitlam,2019-10-10,2017-09-20,206318682,649-63-2871,2019-01-22,2024-1-22
Frannie,Been,1963-02-05,799-289-4649,3023 Westend Parkway,X0C 7C7,Maple Ridge,2018-12-26,,820753143,181-82-7055,2021-02-04,2026-2-4
Cassandre,Virgoe,1992-10-24,791-372-5284,8 Boyd Alley,E4J 5Y6,Abbotsford,2020-03-19,2018-11-19,698046228,535-40-9742,2020-11-20,2025-11-20
Aldus,Syms,1992-05-15,352-831-4831,8 Coleman Lane,E1X 9S1,Coquitlam,2020-03-06,,234938334,660-20-4104,2019-06-27,2024-6-27
Nicolai,Olorenshaw,1995-11-19,521-280-1627,7 Bay Parkway,T8S 9S2,North Vancouver,2019-07-13,,293900388,523-59-4613,2021-04-08,2026-4-8
Olly,Coare,1975-11-06,139-309-3667,1 Waubesa Park,E8S 3A8,Maple Ridge,2021-03-31,,172023115,153-32-8378,2018-04-23,2023-4-23
Fraze,Vedenichev,1985-11-19,515-215-6644,9 Shasta Drive,E8T 0T9,Vancouver,2019-04-16,,729428386,600-32-3615,2018-05-02,2023-5-2
Kirk,Randles,1993-02-23,989-378-3321,50658 Independence Point,H7L 5T5,Burnaby,2020-06-22,2018-02-17,442770842,216-18-2543,2021-10-26,2026-10-26
Bria,Truwert,1985-12-01,204-761-0788,78 Shoshone Junction,E5S 9P4,Langley,2018-05-22,,581922640,286-39-6096,2020-03-23,2025-3-23
Nathanial,Jolland,1996-01-12,115-950-4294,85 Mallard Point,B1W 7C3,Surrey,2018-03-17,,320905352,256-61-4622,2021-06-04,2026-6-4
Jeana,Botcherby,1987-12-29,865-957-6448,17 Orin Court,J2W 7H5,Coquitlam,2020-08-25,,222061587,252-01-5205,2021-08-09,2026-8-9
Denver,Bisley,1961-05-13,626-634-8844,93180 Everett Parkway,T9G 9C3,Langley,2020-09-28,,507566727,160-13-1783,2019-12-09,2024-12-9
Guillema,Huriche,1978-05-30,504-390-4829,258 Harbort Way,K4C 5B3,Burnaby,2017-03-23,,688883140,195-85-8633,2021-04-27,2026-4-27
Benn,Sawrey,1978-04-16,653-125-3984,46503 Merchant Parkway,B2R 7E3,New Westminster,2019-09-03,,841689873,817-68-2435,2021-05-07,2026-5-7
Lucille,Graalmans,1983-03-31,124-412-2187,86773 American Ash Junction,G3L 1M8,New Westminster,2019-03-13,,313810663,103-08-9467,2019-02-16,2024-2-16
Hermia,Drinkhall,1984-08-30,434-135-1241,6376 Armistice Center,K8B 6V3,Delta,2016-03-13,2018-03-17,249752236,378-75-6601,2021-03-03,2026-3-3
Amalea,Quincee,1994-03-04,548-684-3089,57 Darwin Place,E8E 3E4,Maple Ridge,2021-10-14,,255106983,489-87-3129,2018-01-23,2023-1-23
Fidel,Lerway,1994-11-27,292-167-9881,44 Eastwood Junction,J5J 6V2,Richmond,2020-05-09,,782947961,821-11-0559,2018-12-23,2023-12-23
Brenda,Gullick,1999-01-20,746-375-8888,606 Spenser Place,V8B 0B6,Burnaby,2019-10-15,,537711061,460-18-0645,2018-04-27,2023-4-27
Judith,Cissen,1977-02-27,272-414-6645,2389 Shopko Drive,E4T 5L3,Burnaby,2020-07-22,,295989816,542-59-1976,2021-06-14,2026-6-14
Jonie,Rabbitt,1964-02-12,313-214-4389,11427 Moland Lane,J5K 7A7,Richmond,2016-05-31,,351750768,826-25-4065,2020-07-05,2025-7-5
Eleonore,Duval,1994-03-15,508-732-6300,10 Manley Way,P8N 1R6,Burnaby,2020-10-09,,922031988,208-19-2635,2019-12-06,2024-12-6
Claretta,Satcher,1975-12-02,268-400-5217,06745 Truax Pass,E3E 8R7,Langley,2021-02-09,,978136091,630-55-4739,2019-04-27,2024-4-27
Garvin,Cod,1993-01-21,578-194-3940,08 Lyons Road,A1S 8M4,Coquitlam,2018-12-20,,661216178,360-57-7478,2019-05-01,2024-5-1
Delaney,Egle of Germany,1977-11-04,505-637-8940,8 Heffernan Circle,L7B 5M0,West Vancouver,2020-02-27,2020-12-13,339488122,749-07-3357,2019-09-13,2024-9-13
Roxine,Negri,1987-10-31,768-413-7539,46087 Orin Avenue,R8A 0P5,Burnaby,2021-06-02,2019-07-05,743544057,564-45-3700,2021-11-16,2026-11-16
Adda,Gautrey,1999-03-14,862-807-9323,68803 Cottonwood Lane,E5P 1H6,Langley,2017-07-27,,188248996,650-86-2977,2019-02-10,2024-2-10
Corny,Hould,1973-08-17,721-342-8424,62 La Follette Point,V1E 2E3,Delta,2019-09-25,,809687041,299-40-3852,2019-11-03,2024-11-3
Joya,McDermott,1974-03-15,321-813-3365,79 Dennis Avenue,E2G 7C0,Langley,2021-02-11,,670718417,493-30-7451,2020-01-11,2025-1-11
Alric,Leonardi,1981-10-29,106-834-1812,5 Kim Park,G3Z 8J9,Burnaby,2020-06-08,,433789543,662-01-8621,2019-02-23,2024-2-23
Laurel,Wavell,1963-11-06,164-471-1461,545 Farmco Plaza,J5X 9P5,Coquitlam,2020-03-25,,520304738,845-16-0662,2019-04-18,2024-4-18
Leeanne,Dorkins,1977-05-20,860-999-5092,3478 Fieldstone Court,B1W 5M8,Coquitlam,2016-06-08,,695868264,881-67-7822,2019-03-12,2024-3-12
Banky,Ruselin,1963-06-05,751-378-1341,87111 Logan Parkway,L9M 0N1,Delta,2021-11-01,,143875539,281-24-1502,2021-09-13,2026-9-13
Essy,Pentin,1995-08-16,506-447-6078,6779 Lake View Plaza,V8A 5B6,Abbotsford,2021-03-26,,497448204,135-32-4523,2018-01-08,2023-1-8
Oby,MacRitchie,1998-12-08,472-904-3980,65 Lake View Parkway,E4T 0E2,Vancouver,2017-04-06,,638469257,102-59-5490,2019-01-01,2024-1-1
Helli,Tappor,1979-01-25,914-673-5201,50 Gale Park,T1Y 0T3,Vancouver,2018-04-14,,951257940,279-40-0145,2019-07-25,2024-7-25
Aylmer,Bradly,1983-01-11,624-405-2847,73 Ridge Oak Point,A1S 6E8,Burnaby,2017-03-04,,577094192,509-62-1241,2021-06-22,2026-6-22
Cherin,Ballentime,1976-08-11,252-823-9835,6 Westend Way,L4P 5B0,Delta,2018-01-09,,676502270,155-32-1853,2020-03-22,2025-3-22
Vladamir,Eaden,1994-05-06,422-379-7151,2 Shelley Drive,E4R 9N9,Coquitlam,2021-09-27,,106840739,111-24-2808,2018-09-11,2023-9-11
Elsinore,Brickell,1993-12-12,810-417-8980,71968 Corry Street,E5S 4P2,Delta,2020-01-02,,563710275,552-43-0412,2018-11-25,2023-11-25
Niki,Gaffney,1986-10-04,107-595-1404,9 South Pass,P8N 0E6,North Vancouver,2015-11-21,,294738330,206-94-9779,2021-08-15,2026-8-15
Alexandr,Yakunin,1970-06-10,821-883-4996,97236 Mallory Pass,R9A 0N7,Abbotsford,2018-06-12,,713164514,855-53-3811,2021-04-29,2026-4-29
Dina,Fluit,1998-01-15,130-787-0357,651 Hauk Pass,B9A 5G6,New Westminster,2016-09-30,2020-12-10,925460484,698-28-3409,2021-08-14,2026-8-14
Blanca,Dymocke,1978-06-29,161-390-1209,51 Gina Terrace,E4E 6J0,Coquitlam,2021-05-14,2021-03-25,859586567,711-07-2923,2019-08-28,2024-8-28
Bili,Raison,1984-07-06,351-113-8367,06 American Court,E1X 9S1,West Vancouver,2020-02-27,,172921397,853-43-1417,2018-02-21,2023-2-21
Fredia,Teasell,1967-01-07,269-261-3483,27308 Maryland Avenue,H3C 0X8,Burnaby,2016-08-19,,705108362,655-38-6198,2018-01-20,2023-1-20
Petronia,Kelway,1973-12-31,620-218-9647,679 Summit Junction,J3E 0X9,Vancouver,2019-10-29,,175345162,520-22-7512,2020-05-13,2025-5-13
Danita,Pitfield,1966-06-06,969-740-5117,838 Schurz Court,G8K 3N3,Abbotsford,2017-09-11,,169266474,468-24-6012,2021-10-16,2026-10-16
Quentin,Rawle,1963-02-07,650-443-8412,469 Fallview Parkway,J5A 6Y1,West Vancouver,2019-12-26,,783666834,159-58-3297,2021-04-08,2026-4-8
Raymond,Debrick,1968-10-05,198-151-7023,9446 Victoria Alley,T9V 8N6,Richmond,2016-03-29,2019-09-19,690434285,830-78-9066,2018-11-14,2023-11-14
Kirbee,Rittmeier,1999-09-25,320-158-7202,12 Carioca Street,K8B 0B6,Coquitlam,2016-07-09,,293244138,416-96-9941,2020-07-28,2025-7-28
Jenine,Petkens,1981-11-02,634-840-6305,1189 Jana Pass,S9H 9Y1,Coquitlam,2019-03-08,,492569805,420-75-2469,2018-11-07,2023-11-7
Caty,Kleszinski,1993-06-12,187-449-8285,98 Thackeray Street,G7P 8X6,North Vancouver,2021-08-01,2019-01-07,140729272,288-39-9858,2021-05-28,2026-5-28
Jacquenette,Armsby,1984-04-17,157-238-1513,16909 Tennessee Street,L0N 0T5,Richmond,2016-01-06,2021-04-16,497639689,213-36-8330,2021-05-28,2026-5-28
Curt,Puttock,1979-01-11,300-284-2928,4195 Montana Avenue,H9J 8P0,Burnaby,2021-04-20,,145757647,540-97-5318,2019-04-21,2024-4-21
Modesty,Gilbody,1989-09-10,774-478-5513,22890 Schlimgen Drive,J8H 3E4,Coquitlam,2020-07-01,,216681575,225-11-0510,2018-06-23,2023-6-23
Dora,Pieracci,1961-10-26,717-928-0670,1066 Sloan Parkway,N8V 5G4,New Westminster,2019-01-05,,453897476,831-96-2278,2019-12-26,2024-12-26
Mae,Bert,1986-09-17,754-492-8969,83 Buena Vista Trail,H3N 4Y2,Vancouver,2017-10-24,,228317991,348-25-7342,2021-06-10,2026-6-10
Stella,Seakings,1996-01-13,243-604-6024,94 Linden Center,G4X 7G6,New Westminster,2020-06-06,,657838208,316-26-1546,2019-06-03,2024-6-3
Kayle,Kitchen,1976-04-03,939-851-1803,4531 Schiller Circle,G0A 9J0,Surrey,2020-07-21,,767612128,839-91-0932,2021-01-15,2026-1-15
Russell,Brodie,1990-09-26,184-696-5672,262 Hayes Trail,N8P 8G5,West Vancouver,2021-08-31,,117322456,363-04-0129,2021-09-18,2026-9-18
Jessamine,McEniry,1975-10-28,815-693-3635,9 Claremont Drive,J0E 9N2,Langley,2020-08-25,,882664006,457-23-2448,2021-06-14,2026-6-14
Dagmar,Mussington,1961-09-11,342-458-5562,760 Evergreen Trail,P9A 5E7,Surrey,2017-07-17,,108475378,797-52-6972,2021-05-18,2026-5-18
Kippar,Braine,1998-11-10,893-589-0157,01 Crest Line Crossing,T1G 7N7,Vancouver,2020-12-23,,891337726,218-44-2534,2018-10-06,2023-10-6
Teodorico,Beadon,1999-11-19,813-229-9801,2 Cody Center,K7G 0R6,Delta,2020-09-09,,423350556,360-65-8999,2019-12-27,2024-12-27
Felecia,McNalley,1976-11-28,126-607-8689,484 Center Terrace,T1X 6P7,New Westminster,2016-01-30,,509997658,416-18-9908,2020-10-12,2025-10-12
Tanny,MacPhee,1986-08-17,987-734-3893,02610 Kipling Court,G5T 7X1,Surrey,2017-06-19,,937495696,423-96-2579,2021-03-14,2026-3-14
Hayyim,Kedge,1969-10-30,831-583-8039,1136 School Pass,T7S 2T9,Maple Ridge,2021-10-03,2021-08-06,193848643,855-04-3095,2017-12-30,2022-12-30
Zeb,MacRanald,1984-03-10,676-843-7116,21768 Mosinee Crossing,K7C 1Y4,Vancouver,2019-10-16,,960468165,193-84-7366,2020-09-11,2025-9-11
Beau,Staten,1971-11-25,401-357-0048,99195 Johnson Park,K7K 5E0,Surrey,2019-05-27,,922588125,385-24-3308,2019-08-23,2024-8-23
Baudoin,Scudder,1993-11-06,112-215-9413,96538 4th Park,E6E 1G4,New Westminster,2017-09-25,,671989348,878-07-2783,2021-01-05,2026-1-5
Sara-ann,Vasse,1970-04-28,247-265-7020,598 Briar Crest Junction,L3V 7E6,Burnaby,2018-05-26,2020-09-10,822840126,281-98-3618,2020-06-02,2025-6-2
Juieta,Kaplan,1997-07-30,482-195-4006,11492 Burrows Hill,V3H 1A6,Maple Ridge,2021-03-12,,352904935,837-46-7992,2018-08-30,2023-8-30
Beaufort,Kleinhaus,1975-02-17,262-791-7247,16 Cambridge Pass,G5B 3A6,Maple Ridge,2017-04-27,,503261751,344-01-3847,2020-06-06,2025-6-6
Linda,McMillan,1962-07-08,508-864-9516,77546 Butternut Center,P2B 5C5,Delta,2020-02-05,2017-09-16,110215435,783-33-3778,2020-07-26,2025-7-26
Kare,Almey,1984-08-06,402-760-5010,12 Garrison Crossing,H5B 8C3,Vancouver,2016-12-19,,738871589,450-80-5212,2020-12-09,2025-12-9
Augustus,Pymm,1966-02-01,516-657-5572,61 Montana Avenue,B2G 4S4,West Vancouver,2019-09-25,,295526173,865-60-0068,2019-09-05,2024-9-5
Tatiania,Olander,1979-06-28,895-862-5434,3 Buhler Pass,E4L 7G4,Abbotsford,2020-02-18,,231814703,274-25-7907,2020-01-15,2025-1-15
Collin,Bryant,1993-05-24,758-838-8782,22 Surrey Street,V7B 7P2,New Westminster,2016-04-06,,715413644,717-25-2487,2018-03-11,2023-3-11
Kimball,Cardenas,1972-03-14,788-809-3845,6770 Mcbride Pass,B4H 7E1,Surrey,2017-04-05,,463436025,817-79-5486,2019-01-06,2024-1-6
Regine,Oneil,1993-11-29,813-859-9865,591 Karstens Road,E8S 3A8,Delta,2019-05-09,2021-09-30,727841396,257-70-4678,2019-12-26,2024-12-26
Gwyneth,Rudolfer,1988-09-01,270-240-2699,2 Green Pass,N7G 3V2,Abbotsford,2016-04-30,,124999896,494-71-4879,2018-09-12,2023-9-12
Miran,Stetlye,1995-04-24,635-355-5214,30428 Pierstorff Street,G8N 1P9,North Vancouver,2019-07-21,2018-04-19,385004089,745-11-8696,2020-07-16,2025-7-16
Gene,Ruf,1986-06-22,462-397-0375,66 Dapin Circle,E8A 8S1,New Westminster,2020-08-01,,323981058,199-76-4297,2021-03-02,2026-3-2
Eba,Yeeles,1979-03-27,191-631-4628,6 Grasskamp Center,V5K 4T1,Coquitlam,2020-02-09,2017-10-27,756718792,660-95-1038,2021-06-29,2026-6-29
Tessie,Timeby,1964-07-23,108-606-5160,59 Autumn Leaf Point,G0B 1Y9,Coquitlam,2016-05-22,,764330540,806-26-7650,2020-04-02,2025-4-2
Sherwood,Zecchi,1996-09-19,292-761-3839,5741 Forest Crossing,K7C 2T0,Vancouver,2019-08-23,,654710429,846-85-4207,2018-11-29,2023-11-29
Marissa,Leither,1994-10-29,397-152-9221,782 Jay Alley,H3N 5Y9,West Vancouver,2017-11-11,,149599238,421-55-2162,2019-09-10,2024-9-10
Ofilia,Tatlowe,1973-08-20,464-323-6805,38876 Rowland Place,E8A 8R2,Burnaby,2018-01-15,,730470296,625-71-3302,2018-11-12,2023-11-12
Linette,Stockford,1981-01-14,901-134-8437,8007 American Plaza,E4E 6J0,Burnaby,2017-06-22,2019-03-26,770353018,806-59-8957,2020-01-31,2025-1-31
Dominick,Adamec,1982-12-06,768-738-1440,4 Forest Park,T4J 3N6,New Westminster,2020-11-10,,972830723,861-68-9739,2021-05-05,2026-5-5
Alix,Guilford,1981-02-21,915-842-4918,97 International Trail,B2J 9J1,Delta,2016-04-16,,706417032,690-02-0732,2018-06-17,2023-6-17
Englebert,Longson,1963-08-09,313-162-0838,975 Norway Maple Pass,V3Y 2S5,Delta,2021-04-10,,115775207,886-28-2417,2020-09-14,2025-9-14
Carlynn,Wigfall,1977-07-25,275-741-9557,616 Green Court,B2G 4S4,Richmond,2019-07-20,,393323085,490-12-3900,2019-05-03,2024-5-3
Elset,Burness,1982-05-18,169-739-1992,40571 Vernon Center,L7C 0G4,West Vancouver,2020-02-25,,881774989,166-47-2759,2019-03-09,2024-3-9
Trisha,Witson,1981-03-11,520-118-4308,1620 Arrowood Pass,V8J 9C8,Delta,2016-05-30,,786200783,523-50-5832,2018-03-24,2023-3-24
Alfi,Ridge,1968-09-04,576-118-0089,1202 Shasta Junction,J1T 2P7,Vancouver,2017-04-18,2020-08-05,327196450,588-44-9739,2019-01-25,2024-1-25
